Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,1k,R_0402_1005Metric,121.465,-90.75,0.0,top
R2,1k,R_0402_1005Metric,123.975,-90.75,0.0,top
TT04_CON1,~,PinHeader_2x20_P2.54mm_Vertical_SMD,114.163,-113.0,0.0,top
TT04_CON2,~,PinHeader_2x20_P2.54mm_Vertical_SMD,150.163,-113.0,0.0,top
TT06_CON1,~,FH-00148_PinSocket_2x20_P2.54mm,103.5,-113.0,0.0,bottom
TT06_CON2,~,FH-00148_PinSocket_2x20_P2.54mm,143.5,-113.0,0.0,bottom
